AREA_NM,PBLPRFR_ND_DSPY_GOODS_CD,PBLPRFR_ND_DSPY_GOODS_NM,PBLPRFR_ND_DSPY_GOODS_ADDR,PBLPRFR_ND_DSPY_GOODS_RNEWL_DE
"강원 강릉시",32188,[강원 강릉] 하슬라 아트월드 : 이색전시,강원 강릉시 강동면 율곡로 1441,20200831
"강원 강릉시",53640,[야놀자X강원도] 하슬라 아트월드 : 이색전시,강원 강릉시 강동면 율곡로 1441,20200831
"강원 강릉시",58668,[강원 강릉] 하슬라 아트월드 : 이색전시 ★특가,강원 강릉시 강동면 율곡로 1441,20200831
"경기 가평군",39722,"[경기 가평] 마상공연, 조라&지미 퍼니쇼!",경기 가평군 가평읍 달전리 99-4,20200831
"경기 남양주시",39329,[경기 남양주] 서호미술관,경기 남양주시 화도읍 북한강로 1344,20200831
"경기 남양주시",39564,[경기 남양주] 모란 미술관,경기 남양주시 화도읍 경춘로2110번길 8,20200831
"경기 남양주시",42545,[경기 남양주] 모란 미술관,경기 남양주시 화도읍 경춘로2110번길 8,20200831
"경기 남양주시",42702,[경기 남양주] 서호미술관,경기 남양주시 화도읍 북한강로 1344,20200831
"경기 양평군",58384,[경기 양평] 풀향기허브나라&토이전시관,경기 양평군 용문면 용문산로 120-5,20200831
"경기 용인시",48669,[전국 지점] 우리동네 뮤지컬 연기/노래/안무 레슨,경기 용인시 기흥구 동백중앙로 283,20200831
"경기 용인시",49720,[전국 지점] 우리동네 뮤지컬 연기/노래/안무 레슨 19개지점,경기 용인시 기흥구 동백중앙로 283,20200831
"경기 용인시",50067,[경기 용인]에버랜드+나비전시+눈썰매+타로카드(1종),경기 용인시 처인구 포곡읍 에버랜드로 199,20200831
"경기 용인시",50071,[용인] 에버랜드+나비전시 종일&오후권,경기 용인시 처인구 포곡읍 에버랜드로 199,20200831
"경기 용인시",50078,[경기 용인] 에버랜드 종일권 얼리버드+나비전시,경기 용인시 처인구 포곡읍 에버랜드로 199,20200831
"경기 용인시",50244,[경기 용인] 에버랜드 2/3인권+ 츄러스1개 무료+나비전시,경기 용인시 처인구 포곡읍 에버랜드로 199,20200831
"경기 용인시",50272,[경기 용인] 에버랜드 대인+미취학소인패키지+나비전시(~02/29),경기 용인시 처인구 포곡읍 에버랜드로 199,20200831
"경기 파주시",35116,[경기 파주] 향기의미술관 르누아르展,경기 파주시 탄현면 헤이리마을길 7,20200831
"경남 김해시",55965,[경남 김해] 가야테마파크 입장권+공연 패키지(페인터즈 가야왕국),경남 김해시 가야테마길 161,20200831
"경남 김해시",58416,[경남 김해] 가야테마파크 입장권+공연 여름 특가 패키지(페인터즈 가야왕국),경남 김해시 가야테마길 161,20200831
"경북 경주시",35819,[경북 경주] 혼자수미술관,경북 경주시 중앙로 23,20200831
"경북 경주시",41582,[경북 경주] 혼자수미술관,경북 경주시 중앙로 23,20200831
"경북 경주시",42934,[경북 경주] 키덜트 뮤지엄 : 이색전시,경북 경주시 보문로 132-16,20200831
"경북 경주시",46037,[경북 경주] 혼자수미술관,경북 경주시 중앙로 23,20200831
"경북 경주시",46914,[경북 경주] 혼 자수 미술관 ~12월,경북 경주시 중앙로 23,20200831
"경북 경주시",50264,[경북 경주] 혼자 수 미술관 2월,경북 경주시 중앙로 23,20200831
"경북 경주시",52784,[경북 경주] 키덜트 뮤지엄 : 이색전시,경북 경주시 보문로 132-16,20200831
"경북 경주시",56611,[경북 경주] 백악기월드+엑스포공연 패키지,경북 경주시 천북남로 196,20200831
"대구 달서구",48254,[대구 달서] 이월드 83타워 무슈샤 전시회,대구 달서구 두류공원로 200,20200831
"대구 달서구",49168,[대구 달서] 이월드 83타워 무슈샤 전시회 12월,대구 달서구 두류공원로 200,20200831
"대구 달서구",50472,[대구 달서] 이월드 83타워 무슈샤 전시회 1월,대구 달서구 두류공원로 200,20200831
"대구 달서구",51196,[대구 달서] 이월드 83타워 무슈샤 전시회 2월,대구 달서구 두류공원로 200,20200831
"대구 달서구",51360,[대구 달서] 이월드 83타워 전망대&아이스링크&전시PKG 2월,대구 달서구 두류공원로 200,20200831
"대전 서구",42088,[대전 서구] 미스터힐링 대전시청점,대전 서구 둔산로 130,20200831
"부산 기장군",40036,[부산 기장] 반고흐 빌리지展★전시,부산 기장군 기장읍 기장해안로 98,20200831
"부산 기장군",40038,[부산 기장] 본다빈치스퀘어 감성사진관★전시,부산 기장군 기장읍 기장해안로 98,20200831
"부산 남구",44885,[부산 남구] 달콤한 로맨스 연극 우연히 봄,부산 남구 수영로 298 지하 (초콜릿 팩토리 소극장),20200831
"부산 부산진구",39733,[부산 부산진구] 메모리즈 10 : 에릭남&크러쉬 크리스마스공연,부산 부산진구 가야대로 772,20200831
