AREA_NM,PBLPRFR_ND_DSPY_GOODS_CD,PBLPRFR_ND_DSPY_GOODS_NM,PBLPRFR_ND_DSPY_GOODS_ADDR,PBLPRFR_ND_DSPY_GOODS_RNEWL_DE
강원 강릉시,11542,[강원 강릉] 환희 컵 : 이색박물관,강원 강릉시 한밭골길 76-29,20210831
강원 강릉시,32188,[강원 강릉] 하슬라 아트월드 : 이색전시,강원 강릉시 강동면 율곡로 1441,20210831
강원 강릉시,32609,[강원 강릉] 커피커퍼 경포/왕산점 : 이색박물관,강원 강릉시 해안로 341,20210831
강원 강릉시,46714,[강원 강릉] 커피커퍼 박물관 왕산점/경포점 핫딜★,강원 강릉시 해안로 341,20210831
강원 강릉시,53640,[야놀자X강원도] 하슬라 아트월드 : 이색전시,강원 강릉시 강동면 율곡로 1441,20210831
강원 강릉시,53943,[야놀자x강원도특가] 커피커퍼 경포점,강원 강릉시 해안로 341,20210831
강원 강릉시,58668,[강원 강릉] 하슬라 아트월드 : 이색전시 ★특가,강원 강릉시 강동면 율곡로 1441,20210831
강원 강릉시,63891,[강릉]환타지컵 박물관 + 장길환 미술관,강원 강릉시 해안로 10,20210831
강원 삼척시,36261,[강원 삼척] 강원종합박물관,강원 삼척시 신기면 강원남부로 3016,20210831
강원 영월군,46778,[강원 영월] 영월투어패스+젊은달 와이파크PKG,강원 영월군 김삿갓면 진별리 산 262,20210831
강원 영월군,53201,[강원 영월] 영월투어패스+젊은달 와이파크PKG,강원 영월군 김삿갓면 진별리 산 262,20210831
강원 정선군,29546,[강원 정선] 삼탄아트마인,강원 정선군 고한읍 함백산로 1445-44,20210831
강원 춘천시,38206,[강원 춘천] 애니메이션 박물관 + 토이로봇관 통합권,강원 춘천시 서면 박사로 854,20210831
강원 춘천시,42609,[강원 춘천] 애니메이션 박물관 + 토이로봇관,강원 춘천시 서면 박사로 854,20210831
강원 홍천군,46173,[강원 홍천] 2019 썸머미션 대명 오션월드 오션페스타,강원 홍천군 서면 한치골길 262,20210831
